"event","name","country","medal","day","win","sport","gender","type"
"Men's 100M - T11","ABDUL HALIM DALIMUNTE","Indonesia","Gold",2,1,"Athletics","Men","Singles"
"Men's 100M - T11","JORCHUY KITSANA","Thailand","Silver",2,1,"Athletics","Men","Singles"
"Men's 100M - T11","SUNOTO","Indonesia","Bronze",2,1,"Athletics","Men","Singles"
"Men's 100M - T12","MOHAMAD FAIZAL AIDEAL BIN SUHAIMI","Malaysia","Gold",2,1,"Athletics","Men","Singles"
"Men's 100M - T12","MOHAMAD SAIFUDDIN BIN ISHAK","Malaysia","Silver",2,1,"Athletics","Men","Singles"
"Men's 100M - T12","MUHAMAD AFIQ BIN MOHAMAD ALI HANAFIAH","Malaysia","Bronze",2,1,"Athletics","Men","Singles"
"Men's 100M - T37","LE VAN MANH","Vietnam","Gold",2,1,"Athletics","Men","Singles"
"Men's 100M - T37","SAEWANG SAKPHET","Thailand","Silver",2,1,"Athletics","Men","Singles"
"Men's 100M - T37","TAON CHAIRAT","Thailand","Bronze",2,1,"Athletics","Men","Singles"
"Men's 100M - T38","KRISHNA KUMAR HARI DAS","Malaysia","Gold",2,1,"Athletics","Men","Singles"
"Men's 100M - T38","SUYONO","Indonesia","Silver",2,1,"Athletics","Men","Singles"
"Men's 100M - T38","AMIR FIRDAUSS BIN JAMALUDDIN","Malaysia","Bronze",2,1,"Athletics","Men","Singles"
"Men's 100M - T54","KONJEN  SAICHON","Thailand","Gold",2,1,"Athletics","Men","Singles"
"Men's 100M - T54","JAENAL ARIPIN","Indonesia","Silver",2,1,"Athletics","Men","Singles"
"Men's 100M - T54","VAN VUN","Cambodia","Bronze",2,1,"Athletics","Men","Singles"
"Men's 200M - T36","MOHAMAD RIDZUAN BIN MOHAMAD PUZI","Malaysia","Gold",2,1,"Athletics","Men","Singles"
"Men's 200M - T36","MUHAMAD AGUNG LAKSANA","Indonesia","Silver",2,1,"Athletics","Men","Singles"
